bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
3,1979.29,1250,3800,28,2022-07,Worcester,01605,27587,42683
4,2680.0,1900,4500,10,2022-07,Worcester,01605,27587,42683
6,700.0,700,700,1,2022-07,Worcester,01605,27587,42683
0,1485.0,700,2365,3,2022-08,Worcester,01605,27587,42683
1,2122.19,900,2865,16,2022-08,Worcester,01605,27587,42683
2,1997.62,1395,2800,42,2022-08,Worcester,01605,27587,42683
3,2011.36,1250,3800,33,2022-08,Worcester,01605,27587,42683
4,2700.0,1900,4500,11,2022-08,Worcester,01605,27587,42683
5,3050.0,3050,3050,1,2022-08,Worcester,01605,27587,42683
6,700.0,700,700,1,2022-08,Worcester,01605,27587,42683
0,1281.0,700,2365,5,2022-09,Worcester,01605,27587,42683
1,1768.57,900,2865,14,2022-09,Worcester,01605,27587,42683
2,1909.46,1395,2800,37,2022-09,Worcester,01605,27587,42683
3,2035.42,1250,3800,36,2022-09,Worcester,01605,27587,42683
4,2735.0,2000,4500,10,2022-09,Worcester,01605,27587,42683
5,3050.0,3050,3050,1,2022-09,Worcester,01605,27587,42683
6,700.0,700,700,1,2022-09,Worcester,01605,27587,42683
0,1250.83,700,2365,6,2022-10,Worcester,01605,27587,42683
1,1641.18,900,2195,17,2022-10,Worcester,01605,27587,42683
2,1928.72,1395,2800,47,2022-10,Worcester,01605,27587,42683
3,2021.62,1250,3800,37,2022-10,Worcester,01605,27587,42683
4,2625.0,2000,3800,6,2022-10,Worcester,01605,27587,42683
5,3050.0,3050,3050,1,2022-10,Worcester,01605,27587,42683
6,700.0,700,700,1,2022-10,Worcester,01605,27587,42683
0,1250.83,700,2365,6,2022-11,Worcester,01605,27587,42683
1,1735.6,900,2210,25,2022-11,Worcester,01605,27587,42683
2,1921.88,1395,2800,56,2022-11,Worcester,01605,27587,42683
3,2040.32,1600,3000,31,2022-11,Worcester,01605,27587,42683
4,2750.0,2200,3800,5,2022-11,Worcester,01605,27587,42683
5,3050.0,3050,3050,1,2022-11,Worcester,01605,27587,42683
6,700.0,700,700,1,2022-11,Worcester,01605,27587,42683
